ID_1,WLM_AID
1104150,36643
1112300,48946
1112350,49139
1134200,49511
1134220,49874
1134310,49694
1134480,48959
1134850,47512
1134900,48168
1147012,55316
1147200,55299
1159100,64450
1159105,64288
1159130,65063
1159300,64297
1159302,64618
1159303,64772
1159650,65076
1159800,63823
1160235,65352
1160305,65972
1160353,65865
1160378,65753
1160391,65867
1160460,65872
1160493,65759
1160510,65762
1160777,65228
1160880,64476
1160919,64319
1196100,62971
1196400,62608
1196550,62233
1197500,63329
1234080,48581
1234130,49162
1234150,48972
1237500,49184
1255100,60335
1257100,60533
1257101,60536
1258100,61069
1258200,61434
1258201,61814
1258503,62582
1259100,64129
1259101,63802
1259150,64930
1259350,63303
1269600,54917
1271500,54712
1286660,57084
1286700,57278
1286900,57086
1287800,56324
1289200,55954
1289450,56708
1291100,60355
1291200,60540
1308600,37936
1309700,37622
1322880,51645
1323550,51647
1335014,50916
1335122,51114
1337101,51313
1338201,52064
1339100,52741
1340500,53220
1362100,40570
1362600,44182
1389100,62054
1389230,61295
1389470,63164
1389500,60576
1389520,60393
1389600,62632
1425500,52400
1428500,51842
1445100,55508
1445490,55712
1448050,53226
1472150,53260
1472300,53960
1491200,60922
1491210,61097
1495240,61849
1495700,61105
1526300,52038
1530100,52222
1531600,50083
1531700,51850
1537800,49929
1577102,50968
1577602,50164
1591470,58937
1599100,63830
1634400,50063
1643200,54097
1643300,54100
1643400,54281
1643450,53555
1644200,55287
1663100,48441
1663800,49774
1664100,47358
1666100,50747
1673100,48232
1673600,50544
1673900,52461
1732100,51476
1734450,49710
1737700,50722
1749100,52435
1749480,52441
1815020,49677
1837107,49365
1837250,49546
1837401,49545
1878100,53451
1878500,52488
1880100,52804
1891500,59804
1894200,61291
1931295,49336
1931725,49340
1934715,49159
1992900,59993
2106100,44609
2106500,29743
2106600,31304
2151100,41004
2178300,33819
2178400,32749
2178500,34175
2178950,38766
2179100,32037
2180400,36489
2180500,37482
2180700,37488
2180711,34494
2180750,37490
2180800,37493
2181300,41658
2181400,41352
2181500,38402
2181600,40059
2181800,40065
2181850,42600
2181900,40071
2182100,38748
2186500,44875
2186800,44598
2186900,44322
2186950,44604
2217102,36422
2217200,36099
2218100,37065
2218200,37710
2218450,36093
2240100,37725
2240200,37407
2260100,42855
2260110,44284
2260500,45137
2260700,46933
2261500,46685
2311104,25416
2311109,28025
2311200,21771
2311475,25841
2311479,22208
2311480,24056
2311820,26290
2314450,30046
2316200,31185
2316201,29615
2316204,30416
2316500,32291
2319200,24920
2319500,25808
2335200,37727
2335950,43389
2337100,40964
2416850,33014
2423500,39267
2423800,39270
2428200,37997
2428350,38955
2469050,46210
2469060,45964
2469072,47201
2469140,47202
2469260,48507
2496700,42183
2517450,34417
2517610,35410
2517700,35417
2517820,35089
2517920,34422
2517950,35743
2548400,41298
2548500,41299
2549350,41622
2549500,41935
2550200,41941
2550450,42242
2569003,49641
2587100,31698
2588551,36866
2589500,35864
2595400,38619
2595600,36371
2595700,38297
2617110,35404
2646200,43988
2651100,43432
2677100,35520
2694510,37183
2706100,28494
2707100,26320
2707500,26764
2707600,27200
2707700,27206
2744200,27173
2816203,33726
2817400,36095
2836100,37731
2837100,38358
2839100,39321
2851300,42847
2851500,42254
2854050,44269
2854450,48484
2854500,48887
2876500,33124
2878100,34526
2901200,11873
2901201,11881
2901300,15196
2901900,8386
2902850,20636
2903050,19324
2903052,23215
2903054,21866
2903056,20996
2903070,16680
2903080,17645
2903081,18092
2903087,19356
2903120,21426
2903150,15132
2903151,16672
2903152,17630
2903215,21420
2903240,20577
2903300,19732
2903301,21406
2903330,20144
2903401,20184
2903402,18942
2903412,12399
2903422,22743
2903424,21402
2903426,18905
2903427,17601
2903428,17148
2903429,15649
2903430,4758
2903470,15643
2903471,15112
2903475,16665
2903479,17154
2903480,18063
2903482,21433
2903490,17614
2903495,16145
2903497,16647
2903601,15661
2903602,18086
2903603,18522
2903605,19342
2903630,17609
2903647,17599
2903650,19743
2903654,19320
2903701,15099
2903702,14016
2903703,14013
2903704,13462
2903710,12926
2903721,12349
2903722,10582
2903728,12340
2903730,14021
2903740,15610
2903981,6700
2903983,13527
2903993,12974
2906200,24146
2906201,23231
2906300,25954
2906500,24628
