Arc_ID,aquifer_groundwater_recharge_fator,GTEMP_1971_2000,max_groundwater_recharge,max_soil_water_content,mean_basin_slope_class,open_water_fraction,permanent_snow_ice_fraction,cell_area,super_basin_id,basin_identifier,area_max_soil,gamma,upstream_cell_area,upstream_cell_area_max_soil,max_soil_water_content_weight,aquifer_groundwater_recharge_fator_weight,GTEMP_1971_2000_weight,max_groundwater_recharge_weight,mean_basin_slope_class_weight,open_water_fraction_weight,permanent_snow_ice_fraction_weight,ln_gamma,gamma_estimated,gamma_final
1,70,-14.45,450.0,75.0,52,0.0,100,339.5253,1,1,339.5253,,339.5253,339.5253,75.0,70.0,-14.45,450.0,52.0,0.0,99.99999999999999,,0.1185211251628055,0.1185211251628055
2,70,-14.38,450.0,75.0,0,0.0,98,339.5253,2,2,339.5253,,339.5253,339.5253,75.0,70.0,-14.38,450.0,0.0,0.0,98.0,,0.7411954142006272,0.7411954142006272
3,70,-14.33,450.0,75.0,10,0.0,98,339.5253,3,3,339.5253,,339.5253,339.5253,75.0,70.0,-14.33,450.0,10.0,0.0,98.0,,0.5262973078687881,0.5262973078687881
4,70,-20.39,450.0,75.0,10,0.0,97,339.5253,4,4,339.5253,,339.5253,339.5253,75.0,70.0,-20.39,450.0,10.0,0.0,97.0,,0.4903014071430734,0.4903014071430734
5,70,-20.73,450.0,75.0,10,0.0,98,339.5253,5,5,339.5253,,339.5253,339.5253,75.0,70.0,-20.73,450.0,10.0,0.0,98.0,,0.47624679095384237,0.47624679095384237
6,70,-20.3,450.0,75.0,11,0.0,97,339.5253,6,6,339.5253,,339.5253,339.5253,75.0,70.0,-20.3,450.0,11.0,0.0,97.0,,0.4744269772385825,0.4744269772385825
7,70,-19.83,450.0,118.0,22,0.0,96,339.5253,7,7,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-19.83,450.0,22.0,0.0,96.0,,0.28745898343967063,0.28745898343967063
8,70,-19.69,450.0,118.0,21,0.0,95,339.5253,8,8,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-19.69,450.0,21.0,0.0,95.0,,0.305319684090266,0.305319684090266
9,70,-19.64,300.0,118.0,32,0.0,95,339.5253,9,9,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-19.64,300.0,32.0,0.0,95.0,,0.2359765405917629,0.2359765405917629
10,70,-19.66,300.0,118.0,51,0.0,95,339.5253,10,10,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-19.66,300.0,51.0,0.0,95.0,,0.12290116792074839,0.12290116792074839
11,70,-19.34,300.0,118.0,39,0.0,95,339.5253,11,11,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-19.34,300.0,39.0,0.0,95.0,,0.18645529492924787,0.18645529492924787
12,70,-18.79,300.0,118.0,42,1.26825,95,339.5253,12,12,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-18.79,300.0,42.0,1.26825,95.0,,0.1657971174064793,0.1657971174064793
13,70,-18.61,300.0,118.0,44,0.0,95,339.5253,13,13,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-18.61,300.0,44.0,0.0,95.0,,0.15885636252850885,0.15885636252850885
14,70,-18.96,300.0,118.0,48,0.0,95,339.5253,14,14,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-18.96,300.0,48.0,0.0,95.0,,0.13772569549624641,0.13772569549624641
15,70,-17.78,300.0,118.0,34,0.0,95,339.5253,15,15,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-17.78,300.0,34.0,0.0,95.0,,0.22681593535199737,0.22681593535199737
16,70,-17.65,300.0,118.0,24,0.0,95,339.5253,16,16,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-17.65,300.0,24.0,0.0,95.0,,0.3203286163895769,0.3203286163895769
17,70,-17.52,300.0,118.0,17,0.0,95,339.5253,17,17,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-17.52,300.0,17.0,0.0,95.0,,0.40813677001921167,0.40813677001921167
18,70,-17.07,300.0,118.0,10,0.0,95,339.5253,18,18,339.5253,,339.5253,339.5253,118.00000000000001,70.0,-17.07,300.0,10.0,0.0,95.0,,0.5226195633774509,0.5226195633774509
19,70,-14.13,300.0,75.0,10,0.0,95,339.5253,19,19,339.5253,,339.5253,339.5253,75.0,70.0,-14.13,300.0,10.0,0.0,95.0,,0.638680323378242,0.638680323378242
20,50,-17.72,450.0,118.0,20,0.0,98,366.5565,20,20,366.5565,,366.5565,366.5565,118.0,50.0,-17.72,450.0,20.0,0.0,98.0,,0.284059111432424,0.284059111432424
21,50,-17.98,450.0,118.0,25,0.0,95,366.5565,21,21,366.5565,,366.5565,366.5565,118.0,50.0,-17.98,450.0,25.0,0.0,95.0,,0.2559185837309343,0.2559185837309343
22,70,-17.96,450.0,118.0,40,0.0,97,366.5565,22,22,366.5565,,366.5565,366.5565,118.0,70.0,-17.96,450.0,40.0,0.0,97.0,,0.1558324576820988,0.1558324576820988
23,70,-17.53,450.0,118.0,46,0.0,95,366.5565,23,23,366.5565,,366.5565,366.5565,118.0,70.0,-17.53,450.0,46.0,0.0,95.0,,0.1339061179450442,0.1339061179450442
24,70,-17.26,450.0,118.0,29,0.0,95,366.5565,24,24,366.5565,,366.5565,366.5565,118.0,70.0,-17.26,450.0,29.0,0.0,95.0,,0.24099075954242793,0.24099075954242793
25,70,-16.32,450.0,75.0,22,0.0,97,366.5565,25,25,366.5565,,366.5565,366.5565,75.0,70.0,-16.32,450.0,22.0,0.0,97.0,,0.3461094756497498,0.3461094756497498
26,70,-17.81,450.0,75.0,24,0.0,96,366.5565,26,26,366.5565,,366.5565,366.5565,75.0,70.0,-17.81,450.0,23.999999999999996,0.0,95.99999999999999,,0.32331586395790185,0.32331586395790185
27,70,-18.23,450.0,75.0,31,0.0,95,366.5565,27,27,366.5565,,366.5565,366.5565,75.0,70.0,-18.23,450.0,31.0,0.0,95.0,,0.25868783663309636,0.25868783663309636
