Arc_ID,mean_basin_slope_class
1,52
2,0
3,10
4,10
5,10
6,11
7,22
8,21
9,32
10,51
11,39
12,42
13,44
14,48
15,34
16,24
17,17
18,10
19,10
20,20
21,25
22,40
23,46
24,29
25,22
26,24
27,31
28,41
29,32
30,28
31,30
32,28
33,24
34,17
35,23
36,44
37,42
38,47
39,45
40,40
41,15
42,13
43,16
44,13
45,18
46,22
47,26
48,28
49,37
50,41
51,37
52,30
53,24
54,38
55,39
56,34
57,36
58,34
59,36
60,41
61,34
62,18
63,0
64,36
65,33
66,36
67,38
68,36
69,32
70,48
71,29
72,26
73,33
74,40
75,45
76,44
77,42
78,39
79,40
80,43
81,39
82,44
83,43
84,45
85,45
86,46
87,37
88,47
89,49
90,45
91,46
92,44
93,47
94,47
95,49
96,51
97,46
98,48
99,48
100,48
101,45
102,45
103,51
104,44
105,38
106,38
107,35
108,15
109,19
110,10
111,10
112,12
113,25
114,33
115,22
116,24
117,36
118,35
119,20
120,27
121,29
122,23
123,19
124,13
125,11
126,18
127,24
128,17
129,14
130,12
131,16
132,16
133,17
134,23
135,29
136,33
137,36
138,30
139,24
140,25
141,25
142,41
143,44
144,42
145,28
146,21
147,28
148,33
149,35
150,35
151,34
152,29
153,30
154,36
155,33
156,36
157,38
158,36
159,32
160,27
161,16
162,10
163,10
164,15
165,28
166,28
167,28
168,20
169,23
170,40
171,35
172,30
173,39
174,40
175,43
176,46
177,43
178,48
179,52
180,51
181,53
182,49
183,54
184,55
185,53
186,49
187,45
188,42
189,44
190,46
191,46
192,49
193,46
194,46
195,45
196,46
197,49
198,46
199,41
200,45
201,45
202,50
203,52
204,49
205,49
206,45
207,46
208,43
209,41
210,40
211,40
212,43
213,38
214,34
215,38
216,42
217,39
218,40
219,43
220,37
221,33
222,0
223,40
224,36
225,30
226,39
227,41
228,41
229,38
230,34
231,30
232,32
233,36
234,41
235,42
236,44
237,42
238,42
239,10
240,10
241,10
242,12
243,25
244,28
245,27
246,26
247,22
248,31
249,37
250,31
251,28
252,27
253,29
254,30
255,30
256,38
257,39
258,42
259,40
260,34
261,43
262,36
263,37
264,37
265,34
266,30
267,27
268,31
269,38
270,38
271,36
272,30
273,30
274,32
275,38
276,44
277,43
278,44
279,44
280,41
281,35
282,29
283,28
284,30
285,33
286,41
287,36
288,30
289,26
290,19
291,17
292,30
293,23
294,15
295,28
296,28
297,28
298,38
299,38
300,38
301,33
302,16
303,35
304,41
305,35
306,30
307,33
308,31
309,38
310,43
311,44
312,45
313,48
314,47
315,48
316,50
317,49
318,50
319,50
320,49
321,47
322,49
323,49
324,47
325,46
326,45
327,46
328,45
329,53
330,51
331,54
332,50
333,47
334,50
335,50
336,48
337,46
338,46
339,45
340,46
341,43
342,43
343,46
344,40
345,39
346,38
347,41
348,41
349,42
350,35
351,41
352,47
353,47
354,43
355,46
356,45
357,43
358,36
359,41
360,45
361,47
362,10
363,24
364,24
365,18
366,21
367,27
368,29
369,36
370,25
371,29
372,30
373,31
374,29
375,26
376,29
377,28
378,36
379,38
380,37
381,36
382,42
383,36
384,32
385,23
386,29
387,37
388,23
389,17
390,19
391,16
392,21
393,33
394,38
395,35
396,32
397,34
398,32
399,30
400,30
401,29
402,26
403,23
404,22
405,27
406,26
407,24
408,21
409,24
410,25
411,29
412,30
413,29
414,33
415,35
416,36
417,37
418,32
419,39
420,42
421,40
422,40
423,32
424,30
425,30
426,28
427,36
428,28
429,24
430,27
431,34
432,38
433,42
434,41
435,40
436,43
437,44
438,38
439,29
440,28
441,28
442,38
443,34
444,38
445,33
446,16
447,10
448,17
449,10
450,15
451,27
452,19
453,13
454,13
455,13
456,13
457,11
458,10
459,11
460,10
461,11
462,11
463,39
464,39
465,39
466,39
467,38
468,38
469,38
470,38
471,30
472,28
473,25
474,36
475,36
476,19
477,30
478,19
479,32
480,46
481,49
482,44
483,47
484,45
485,44
486,48
487,46
488,50
489,51
490,51
491,48
492,49
493,47
494,46
495,46
496,46
497,45
498,49
499,49
500,45
501,50
502,47
503,52
504,48
505,49
506,47
507,47
508,45
509,37
510,38
511,41
512,39
513,39
514,40
515,45
516,44
517,47
518,50
519,51
520,50
521,54
522,50
523,51
524,52
525,53
526,54
527,49
528,49
529,52
530,14
531,10
532,29
533,29
534,37
535,26
536,20
537,38
538,33
539,31
540,33
541,33
542,28
543,36
544,37
545,38
546,38
547,39
548,36
549,36
550,38
551,37
552,35
553,31
554,29
555,28
556,26
557,27
558,26
559,24
560,26
561,25
562,23
563,23
564,23
565,23
566,24
567,25
568,27
569,29
570,31
571,31
572,28
573,27
574,27
575,29
576,29
577,30
578,32
579,31
580,28
581,28
582,30
583,31
584,29
585,27
586,25
587,23
588,23
589,25
590,29
591,31
592,33
593,34
594,35
595,37
596,32
597,28
598,25
599,22
600,20
601,18
602,16
603,15
604,18
605,28
606,41
607,41
608,33
609,30
610,35
611,38
612,41
613,46
614,38
615,28
616,35
617,34
618,28
619,22
620,31
621,32
622,26
623,24
624,21
625,14
626,10
627,10
628,10
629,10
630,10
631,10
632,10
633,11
634,11
635,11
636,11
637,38
638,38
639,38
640,38
641,39
642,39
643,39
644,39
645,34
646,34
647,38
648,38
649,38
650,24
651,24
652,24
653,24
654,25
655,25
656,19
657,25
658,25
659,24
660,30
661,39
662,37
663,45
664,43
665,46
666,45
667,41
668,39
669,32
670,23
671,38
672,50
673,45
674,38
675,38
676,41
677,45
678,47
679,48
680,48
681,48
682,39
683,41
684,47
685,47
686,46
687,46
688,47
689,42
690,44
691,41
692,47
693,49
694,50
695,48
696,44
697,44
698,46
699,44
700,40
701,38
702,39
703,40
704,40
705,42
706,47
707,48
708,52
709,45
710,47
711,56
712,55
713,57
714,48
715,42
716,20
717,17
718,26
719,35
720,28
721,30
722,30
723,29
724,29
725,31
726,28
727,31
728,31
729,29
730,27
731,26
732,25
733,26
734,28
735,24
736,22
737,22
738,24
739,28
740,30
741,30
742,30
743,31
744,31
745,30
746,32
747,32
748,32
749,32
750,32
751,31
752,31
753,31
754,30
755,29
756,30
757,31
758,30
759,31
760,32
761,32
762,32
763,32
764,31
765,30
766,25
767,21
768,23
769,21
770,18
771,18
772,21
773,22
774,19
775,14
776,15
777,17
778,19
779,18
780,19
781,19
782,19
783,18
784,17
785,15
786,16
787,16
788,16
789,16
790,17
791,17
792,16
793,21
794,22
795,28
796,27
797,39
798,42
799,43
800,40
801,38
802,37
803,40
804,37
805,36
806,35
807,30
808,37
809,45
810,43
811,45
812,39
813,42
814,44
815,31
816,10
817,10
818,10
819,10
820,10
821,10
822,10
823,10
824,27
825,33
826,33
827,30
828,30
829,30
830,43
831,43
832,43
833,31
834,29
835,29
836,29
837,29
838,50
839,50
840,38
841,38
842,38
843,38
844,38
845,39
846,39
847,39
848,39
849,39
850,39
851,39
852,39
853,34
854,34
855,34
856,38
857,38
858,38
859,38
860,38
861,19
862,19
863,19
864,25
865,25
866,25
867,25
868,25
869,25
870,19
871,25
872,19
873,19
874,35
875,19
876,31
877,19
878,24
879,24
880,24
881,43
882,48
883,50
884,46
885,51
886,45
887,43
888,42
889,41
890,37
891,35
892,30
893,23
894,32
895,31
896,28
897,40
898,40
899,37
900,34
901,33
902,28
903,30
904,26
905,22
906,35
907,41
908,44
909,42
910,37
911,42
912,44
913,42
914,46
915,45
916,43
917,45
918,42
919,43
920,46
921,44
922,44
923,48
924,48
925,52
926,53
927,53
928,53
929,56
930,50
931,52
932,55
933,10
934,10
935,14
936,22
937,30
938,33
939,31
940,33
941,25
942,30
943,29
944,25
945,26
946,27
947,23
948,24
949,22
950,20
951,19
952,16
953,16
954,20
955,23
956,24
957,24
958,23
959,23
960,23
961,23
962,23
963,26
964,27
965,26
966,26
967,26
968,26
969,26
970,28
971,28
972,25
973,25
974,26
975,26
976,29
977,29
978,29
979,29
980,30
981,28
982,28
983,28
984,28
985,27
986,26
987,24
988,23
989,24
990,22
991,22
992,21
993,21
994,23
995,21
996,18
997,19
998,16
999,18
1000,18
1001,19
1002,16
1003,12
1004,15
1005,18
1006,20
1007,20
1008,20
1009,20
1010,17
1011,13
1012,13
1013,16
1014,21
1015,22
1016,24
1017,23
1018,20
1019,21
1020,34
1021,32
1022,34
1023,37
1024,36
1025,43
1026,46
1027,45
1028,44
1029,48
1030,43
1031,26
1032,14
1033,10
1034,31
1035,10
1036,41
1037,41
1038,38
1039,41
1040,28
1041,43
1042,43
1043,43
1044,37
1045,33
1046,33
1047,33
1048,27
1049,31
1050,31
1051,31
1052,34
1053,36
1054,34
1055,34
1056,34
1057,34
1058,34
1059,33
1060,33
1061,30
1062,30
1063,30
1064,43
1065,43
1066,43
1067,31
1068,29
1069,29
1070,29
1071,50
1072,38
1073,38
1074,38
1075,38
1076,38
1077,39
1078,39
1079,39
1080,39
1081,39
1082,39
1083,39
1084,24
1085,24
1086,25
1087,25
1088,25
1089,25
1090,25
1091,25
1092,25
1093,19
1094,19
1095,35
1096,33
1097,31
1098,19
1099,31
1100,28
1101,24
1102,24
1103,43
1104,43
1105,44
1106,47
1107,51
1108,50
1109,46
1110,46
1111,45
1112,44
1113,45
1114,45
1115,42
1116,44
1117,39
1118,39
1119,35
1120,38
1121,36
1122,40
1123,42
1124,44
1125,33
1126,30
1127,32
1128,40
1129,45
1130,40
1131,39
1132,50
1133,46
1134,42
1135,44
1136,45
1137,49
1138,46
1139,48
1140,49
1141,49
1142,49
1143,52
1144,51
1145,50
1146,52
1147,49
1148,45
1149,52
1150,50
1151,54
1152,53
1153,53
1154,13
1155,18
1156,21
1157,18
1158,18
1159,26
1160,29
1161,28
1162,33
1163,35
1164,33
1165,27
1166,21
1167,16
1168,16
1169,17
1170,17
1171,18
1172,14
1173,12
1174,10
1175,10
1176,10
1177,11
1178,10
1179,12
1180,13
1181,12
1182,12
1183,11
1184,11
1185,13
1186,15
1187,18
1188,22
1189,25
1190,26
1191,25
1192,24
1193,24
1194,22
1195,20
1196,20
1197,19
1198,14
1199,11
1200,11
1201,11
1202,11
1203,13
1204,17
1205,19
1206,21
1207,23
1208,25
1209,24
1210,25
1211,27
1212,28
1213,26
1214,29
1215,30
1216,34
1217,34
1218,33
1219,34
1220,34
1221,33
1222,31
1223,29
1224,27
1225,24
1226,22
1227,19
1228,18
1229,17
1230,19
1231,21
1232,26
1233,29
1234,33
1235,34
1236,30
1237,26
1238,22
1239,25
1240,33
1241,38
1242,36
1243,37
1244,36
1245,32
1246,48
1247,43
1248,26
1249,52
1250,48
1251,46
1252,49
1253,41
1254,30
1255,54
1256,55
1257,44
1258,42
1259,43
1260,40
1261,41
1262,41
1263,41
1264,38
1265,41
1266,36
1267,39
1268,28
1269,43
1270,37
1271,34
1272,33
1273,33
1274,27
1275,28
1276,31
1277,31
1278,34
1279,36
1280,34
1281,34
1282,39
1283,39
1284,39
1285,23
1286,23
1287,20
1288,24
1289,24
1290,24
1291,24
1292,25
1293,25
1294,25
1295,25
1296,25
1297,20
1298,19
1299,35
1300,33
1301,19
1302,25
1303,34
1304,38
1305,42
1306,21
1307,18
1308,18
1309,12
1310,18
1311,21
1312,20
1313,14
1314,44
1315,44
1316,32
1317,40
1318,44
1319,41
1320,47
1321,50
1322,49
1323,50
1324,46
1325,53
1326,48
1327,46
1328,45
1329,42
1330,45
1331,39
1332,38
1333,40
1334,38
1335,38
1336,46
1337,47
1338,44
1339,47
1340,45
1341,43
1342,46
1343,47
1344,48
1345,44
1346,48
1347,49
1348,51
1349,49
1350,48
1351,48
1352,43
1353,37
1354,44
1355,43
1356,40
1357,52
1358,28
1359,10
1360,11
1361,13
1362,15
1363,18
1364,39
1365,22
1366,22
1367,25
1368,28
1369,29
1370,29
1371,29
1372,28
1373,24
1374,20
1375,19
1376,19
1377,13
1378,13
1379,18
1380,22
1381,25
1382,26
1383,26
1384,23
1385,21
1386,21
1387,20
1388,20
1389,21
1390,22
1391,23
1392,23
1393,22
1394,21
1395,23
1396,24
1397,23
1398,23
1399,23
1400,23
1401,22
1402,22
1403,23
1404,24
1405,23
1406,23
1407,22
1408,21
1409,22
1410,22
1411,23
1412,23
1413,23
1414,21
1415,21
1416,20
1417,20
1418,19
1419,18
1420,17
1421,14
1422,12
1423,12
1424,12
1425,12
1426,12
1427,13
1428,13
1429,15
1430,18
1431,23
1432,26
1433,26
1434,26
1435,29
1436,31
1437,31
1438,32
1439,32
1440,32
1441,33
1442,30
1443,30
1444,30
1445,27
1446,26
1447,26
1448,26
1449,27
1450,27
1451,26
1452,29
1453,26
1454,24
1455,29
1456,34
1457,19
1458,31
1459,48
1460,43
1461,52
1462,45
1463,47
1464,55
1465,45
1466,49
1467,49
1468,57
1469,59
1470,59
1471,50
1472,52
1473,50
1474,48
1475,48
1476,47
1477,41
1478,38
1479,45
1480,46
