Number,land_cover,max_leaf_area_index,frac_decid_plant,red_factor_evergreen,initial_days,rooting_depth,albedo,snow_albedo,emissivity,degree-day
1,Evergreen needleleaf forest ,4.02,0,1,1,2,0.11,0.278,0.9956,1.5
2,Evergreen broadleaf forest ,4.78,0,0.8,1,4,0.07,0.3,0.9956,3
3,Deciduous needleleaf forest ,4.63,1,0.8,10,2,0.13,0.406,0.99,1.5
4,Deciduous broadleaf forest ,4.49,1,0.8,10,2,0.13,0.558,0.99,3
5,Mixed forest ,4.34,0.25,0.8,10,2,0.12,0.406,0.9928,2
6,Closed shrubland ,2.08,0.5,0.8,10,1,0.13,0.7,0.9837,3
7,Open shrubland ,1.88,0.5,0.8,10,0.5,0.2,0.7,0.9541,4
8,Woody savanna ,2.08,0.5,0.3,10,1.5,0.2,0.558,0.9932,4
9,"Savanna		",1.71,0.5,0.5,10,1.5,0.3,0.7,0.9932,4
10,"Grassland		",1.71,0,0.5,10,1,0.25,0.7,0.9932,5
12,"Cropland		",3.62,0,0.1,10,1,0.23,0.376,0.9813,4
14,Cropland/natural vegetation mosaic,3.62,0.5,0.5,10,1,0.18,0.3,0.983,4
15,Snow and ice,0,0,0,0,1,0.6,0.7,0.9999,6
16,Bare ground ,1.31,0,1,10,0.1,0.35,0.7,0.9412,6
