ArcID,GCRC,Lon,Lat,geometry
26439,26425,-112.75,49.25,POINT (-112.75 49.25)
26440,26426,-112.25,49.25,POINT (-112.25 49.25)
26441,26427,-111.75,49.25,POINT (-111.75 49.25)
26444,26430,-110.25,49.25,POINT (-110.25 49.25)
26445,26431,-109.75,49.25,POINT (-109.75 49.25)
26446,26432,-109.25,49.25,POINT (-109.25 49.25)
26447,26433,-108.75,49.25,POINT (-108.75 49.25)
26448,26434,-108.25,49.25,POINT (-108.25 49.25)
26449,26435,-107.75,49.25,POINT (-107.75 49.25)
26452,26438,-106.25,49.25,POINT (-106.25 49.25)
26453,26439,-105.75,49.25,POINT (-105.75 49.25)
26455,26441,-104.75,49.25,POINT (-104.75 49.25)
26872,26858,-113.25,48.75,POINT (-113.25 48.75)
26873,26859,-112.75,48.75,POINT (-112.75 48.75)
26874,26860,-112.25,48.75,POINT (-112.25 48.75)
26875,26861,-111.75,48.75,POINT (-111.75 48.75)
26876,26862,-111.25,48.75,POINT (-111.25 48.75)
26877,26863,-110.75,48.75,POINT (-110.75 48.75)
26878,26864,-110.25,48.75,POINT (-110.25 48.75)
26879,26865,-109.75,48.75,POINT (-109.75 48.75)
26880,26866,-109.25,48.75,POINT (-109.25 48.75)
26881,26867,-108.75,48.75,POINT (-108.75 48.75)
26882,26868,-108.25,48.75,POINT (-108.25 48.75)
26883,26869,-107.75,48.75,POINT (-107.75 48.75)
26884,26870,-107.25,48.75,POINT (-107.25 48.75)
26885,26871,-106.75,48.75,POINT (-106.75 48.75)
26886,26872,-106.25,48.75,POINT (-106.25 48.75)
26887,26873,-105.75,48.75,POINT (-105.75 48.75)
26888,26874,-105.25,48.75,POINT (-105.25 48.75)
26889,26875,-104.75,48.75,POINT (-104.75 48.75)
26890,26876,-104.25,48.75,POINT (-104.25 48.75)
26891,26877,-103.75,48.75,POINT (-103.75 48.75)
26892,26878,-103.25,48.75,POINT (-103.25 48.75)
26893,26879,-102.75,48.75,POINT (-102.75 48.75)
27302,27288,-112.75,48.25,POINT (-112.75 48.25)
27303,27289,-112.25,48.25,POINT (-112.25 48.25)
27304,27290,-111.75,48.25,POINT (-111.75 48.25)
27305,27291,-111.25,48.25,POINT (-111.25 48.25)
27306,27292,-110.75,48.25,POINT (-110.75 48.25)
27307,27293,-110.25,48.25,POINT (-110.25 48.25)
27308,27294,-109.75,48.25,POINT (-109.75 48.25)
27309,27295,-109.25,48.25,POINT (-109.25 48.25)
27310,27296,-108.75,48.25,POINT (-108.75 48.25)
27311,27297,-108.25,48.25,POINT (-108.25 48.25)
27312,27298,-107.75,48.25,POINT (-107.75 48.25)
27313,27299,-107.25,48.25,POINT (-107.25 48.25)
27314,27300,-106.75,48.25,POINT (-106.75 48.25)
27315,27301,-106.25,48.25,POINT (-106.25 48.25)
27316,27302,-105.75,48.25,POINT (-105.75 48.25)
27317,27303,-105.25,48.25,POINT (-105.25 48.25)
27318,27304,-104.75,48.25,POINT (-104.75 48.25)
27319,27305,-104.25,48.25,POINT (-104.25 48.25)
27320,27306,-103.75,48.25,POINT (-103.75 48.25)
27321,27307,-103.25,48.25,POINT (-103.25 48.25)
27322,27308,-102.75,48.25,POINT (-102.75 48.25)
27323,27309,-102.25,48.25,POINT (-102.25 48.25)
27732,27714,-112.75,47.75,POINT (-112.75 47.75)
27733,27715,-112.25,47.75,POINT (-112.25 47.75)
27734,27716,-111.75,47.75,POINT (-111.75 47.75)
27735,27717,-111.25,47.75,POINT (-111.25 47.75)
27736,27718,-110.75,47.75,POINT (-110.75 47.75)
27737,27719,-110.25,47.75,POINT (-110.25 47.75)
27738,27720,-109.75,47.75,POINT (-109.75 47.75)
27739,27721,-109.25,47.75,POINT (-109.25 47.75)
27740,27722,-108.75,47.75,POINT (-108.75 47.75)
27741,27723,-108.25,47.75,POINT (-108.25 47.75)
27742,27724,-107.75,47.75,POINT (-107.75 47.75)
27743,27725,-107.25,47.75,POINT (-107.25 47.75)
27744,27726,-106.75,47.75,POINT (-106.75 47.75)
27745,27727,-106.25,47.75,POINT (-106.25 47.75)
27746,27728,-105.75,47.75,POINT (-105.75 47.75)
27747,27729,-105.25,47.75,POINT (-105.25 47.75)
27748,27730,-104.75,47.75,POINT (-104.75 47.75)
27749,27731,-104.25,47.75,POINT (-104.25 47.75)
27750,27732,-103.75,47.75,POINT (-103.75 47.75)
27751,27733,-103.25,47.75,POINT (-103.25 47.75)
27752,27734,-102.75,47.75,POINT (-102.75 47.75)
27753,27735,-102.25,47.75,POINT (-102.25 47.75)
27754,27736,-101.75,47.75,POINT (-101.75 47.75)
27755,27737,-101.25,47.75,POINT (-101.25 47.75)
28158,28135,-112.75,47.25,POINT (-112.75 47.25)
28159,28136,-112.25,47.25,POINT (-112.25 47.25)
28160,28137,-111.75,47.25,POINT (-111.75 47.25)
28161,28138,-111.25,47.25,POINT (-111.25 47.25)
28162,28139,-110.75,47.25,POINT (-110.75 47.25)
28163,28140,-110.25,47.25,POINT (-110.25 47.25)
28164,28141,-109.75,47.25,POINT (-109.75 47.25)
28165,28142,-109.25,47.25,POINT (-109.25 47.25)
28166,28143,-108.75,47.25,POINT (-108.75 47.25)
28167,28144,-108.25,47.25,POINT (-108.25 47.25)
28168,28145,-107.75,47.25,POINT (-107.75 47.25)
28169,28146,-107.25,47.25,POINT (-107.25 47.25)
28170,28147,-106.75,47.25,POINT (-106.75 47.25)
28171,28148,-106.25,47.25,POINT (-106.25 47.25)
28172,28149,-105.75,47.25,POINT (-105.75 47.25)
28173,28150,-105.25,47.25,POINT (-105.25 47.25)
28174,28151,-104.75,47.25,POINT (-104.75 47.25)
28175,28152,-104.25,47.25,POINT (-104.25 47.25)
28176,28153,-103.75,47.25,POINT (-103.75 47.25)
28177,28154,-103.25,47.25,POINT (-103.25 47.25)
28178,28155,-102.75,47.25,POINT (-102.75 47.25)
28179,28156,-102.25,47.25,POINT (-102.25 47.25)
28180,28157,-101.75,47.25,POINT (-101.75 47.25)
28181,28158,-101.25,47.25,POINT (-101.25 47.25)
28182,28159,-100.75,47.25,POINT (-100.75 47.25)
28183,28160,-100.25,47.25,POINT (-100.25 47.25)
28184,28161,-99.75,47.25,POINT (-99.75 47.25)
28185,28162,-99.25,47.25,POINT (-99.25 47.25)
28186,28163,-98.75,47.25,POINT (-98.75 47.25)
28193,28170,-95.25,47.25,POINT (-95.25 47.25)
28194,28171,-94.75,47.25,POINT (-94.75 47.25)
28195,28172,-94.25,47.25,POINT (-94.25 47.25)
28196,28173,-93.75,47.25,POINT (-93.75 47.25)
28197,28174,-93.25,47.25,POINT (-93.25 47.25)
28579,28547,-112.25,46.75,POINT (-112.25 46.75)
28580,28548,-111.75,46.75,POINT (-111.75 46.75)
28581,28549,-111.25,46.75,POINT (-111.25 46.75)
28582,28550,-110.75,46.75,POINT (-110.75 46.75)
28583,28551,-110.25,46.75,POINT (-110.25 46.75)
28584,28552,-109.75,46.75,POINT (-109.75 46.75)
28585,28553,-109.25,46.75,POINT (-109.25 46.75)
28586,28554,-108.75,46.75,POINT (-108.75 46.75)
28587,28555,-108.25,46.75,POINT (-108.25 46.75)
28588,28556,-107.75,46.75,POINT (-107.75 46.75)
28589,28557,-107.25,46.75,POINT (-107.25 46.75)
28590,28558,-106.75,46.75,POINT (-106.75 46.75)
28591,28559,-106.25,46.75,POINT (-106.25 46.75)
28592,28560,-105.75,46.75,POINT (-105.75 46.75)
28593,28561,-105.25,46.75,POINT (-105.25 46.75)
28594,28562,-104.75,46.75,POINT (-104.75 46.75)
28595,28563,-104.25,46.75,POINT (-104.25 46.75)
28596,28564,-103.75,46.75,POINT (-103.75 46.75)
28597,28565,-103.25,46.75,POINT (-103.25 46.75)
28598,28566,-102.75,46.75,POINT (-102.75 46.75)
